"MOVIE","ACTOR","CHARACTER_NAME","TYPE","BILLING","GENDER"
"Alpha","Tyler Perry","Madea/Joe/Brian","Leading","1","Male"
"Alpha","Cassi Davis","Aunt Bam","Supporting","2","Female"
"Alpha","Patrice Lovely","Hattie","Supporting","3","Female"
"Alpha","Stella","Madea/Joe/Brian","Leading","1","Male"
"Beta","Tyler Perry","Madea/Joe/Brian","Leading","1","Male"
"Beta","Cassi Davis","Aunt Bam","Supporting","2","Female"
"Beta","Patrice Lovely","Hattie","Supporting","3","Female"
"Beta","Takis","Aunt Bam","Supporting","2","Female"
"Gamma","Tyler Perry","Madea/Joe/Brian","Leading","1","Male"
"Gamma","Cassi Davis","Aunt Bam","Supporting","2","Female"
"Gamma","Me","You","Supporting","1","Female"
"Delta","Me","you2","leading","3","Female"
"Delta","You","you3","leading","4","Female"
